,company_name,experience,location,skills,posted_at
92,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Nepal,  Netherlands,  New Zealand,  Norway,  Pakistan","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations","
Work from Home 
		    	"
93,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,,"Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations","
Work from Home 
		    	"
94,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Malda,  Midnapur,  Raniganj,  Siliguri,  France","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations  ,  B2b And Sales","
Work from Home 
		    	"
95,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Bhilai-Durg,  Bilaspur,  Anand,  Ankleshwar,  Bharuch","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations  ,  B2b And Sales","
Work from Home 
		    	"
96,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Nizamabad,  Ongole,  Tezpur,  Tinsukia,  Patna","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations","
Work from Home 
		    	"
97,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,,"Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations","
Work from Home 
		    	"
98,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Mumbai,  Latur,  Lonavala,  Mahabaleshwar,  Nagpur","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice  ,  Back-office Operations","
Work from Home 
		    	"
99,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Hissar,  Jhajjar,  Jind,  Kaithal,  Karnal","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice","
Work from Home 
		    	"
100,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Ambala,  Bhiwani,  Gondia,  Hinganghat,  Kalyan","data entry  ,  typing speed  ,  computer operator  ,  work from home  ,  cce  ,  excutive  ,  non voice  ,  back office  ,  blended process  ,  Backend  ,  Banking  ,  Bank Reconciliation  ,  Accounts Payable","
Work from Home 
		    	"
101,"Deepakshi Recruiters
     (More Jobs)",0 - 1 yrs,"Ahmedabad,  Chandigarh,  Surat,  Ambala,  Bhiwani","Data Entry  ,  Typing Speed  ,  computer operator  ,  Work From Home  ,  Back Office  ,  executive  ,  CCE  ,  Blended Process  ,  Non Voice","
Work from Home 
		    	"
